BIO,QCA,FIS,NUM,PREG,FEED,EXPON,ADMIN,SISTEMA
"('celul', 0.008516737894094272)","('atom', 0.014529398586147376)","('mas', 0.01824150804510699)","('dos', 0.007534794606678478)","('com', 0.024441197652031687)","('si', 0.025012872721580055)","('tod', 0.0163711742431199)","('pas', 0.008860717694259527)","('sistem', 0.009844771789231295)"
"('sangr', 0.004744551368531334)","('electron', 0.008928830178957039)","('carg', 0.008292779469656097)","('tres', 0.003303430708984924)","('pregunt', 0.01074875969021117)","('tod', 0.0163711742431199)","('hac', 0.015484448223829137)","('clas', 0.008006450356472452)","('clav', 0.002750814241242932)"
"('cuerp', 0.002866077812306932)","('grup', 0.00883800390148249)","('form', 0.008116484361802278)","('2', 0.0027366745064554966)","('dond', 0.00703195677698506)","('bien', 0.016058665648531093)","('pued', 0.013876022024935776)","('pod', 0.00676056951051786)","('discovery', 0.0024766447294027965)"
"('corazon', 0.0025704580861190506)","('carg', 0.008292779469656097)","('electr', 0.005900456731521701)","('1', 0.0018334580849114082)","('cual', 0.005626724998227122)","('hac', 0.015484448223829137)","('ten', 0.013030830187762302)","('habl', 0.006020272405289462)","('comput', 0.0020413772817960787)"
"('nutrient', 0.0023579972333306574)","('oxigen', 0.004841266193356749)","('fuerz', 0.004854748924313882)","('5', 0.0017966048865887669)","('sab', 0.00505967669349922)","('pued', 0.013876022024935776)","('pregunt', 0.01074875969021117)","('respond', 0.005702320912195308)","('cuent', 0.0018112616656400958)"
"('man', 0.0017186180698984823)","('sal', 0.0042861721913069134)","('unid', 0.004216792584758271)","('4', 0.0017112574057666643)","('quien', 0.004845428162915119)","('ciert', 0.01203737451558904)","('dic', 0.009309674872726922)","('escuch', 0.004962382335167511)","('internet', 0.0016426296256018488)"
"('aliment', 0.0014834678125191729)","('proton', 0.0039071307069254236)","('tiemp', 0.0037097162083727753)","('cuatr', 0.0016357876181312533)","('podr', 0.0047931625108499736)","('dic', 0.009309674872726922)","('vide', 0.009239894989644053)","('sal', 0.0042861721913069134)","('equip', 0.0015188978627967361)"
"('mol', 0.0013070752026838831)","('tabl', 0.003536923521799629)","('energ', 0.0034512571529583323)","('6', 0.0013415609159378168)","('cuant', 0.0026578495503827315)","('pas', 0.008860717694259527)","('pas', 0.008860717694259527)","('lueg', 0.0032784806388036452)","('plataform', 0.0012876414898994309)"
,"('enlac', 0.0034151736690344876)","('calor', 0.003406329662297189)","('/', 0.001333793658640723)","('?', 0)","('algun', 0.006782896556154346)","('voy', 0.00853761246389781)","('atencion', 0.003257884672366208)",
,"('nucle', 0.0032241348520911026)","('minut', 0.0033575007212296986)","('8', 0.001164872373266433)",,"('quier', 0.006766181118057474)","('form', 0.008116484361802278)","('hic', 0.0023496773629182077)",
