C,C,T,T,T TEST,T TEST
mean,var,mean,var,t,p-val
0.20450190657419692,0.018844502201489338,0.2803070638958777,0.0004950222993377248,-1.7973416571593375,0.09747290409051967
0.1262929281480038,0.007106139406906454,0.16674166124145015,0.0003413183062200308,-1.516537329180957,0.1552759999803303
0.1822253128643447,0.015842117006978136,0.20802796577331978,0.0005303437036819282,-0.6606514976557015,0.5213169332679968
0.04612310414366845,0.0009951013426358186,0.06503687791624602,0.00014593487469410658,-1.6891387228623829,0.11698435478287872
0.05430144861259209,0.001669830406616029,0.08663716192281286,0.00047818871979151686,-1.9619585236070598,0.0733811610100742
0.01751980389854982,0.00014130814711396295,0.03546242577366956,2.9904929591932365e-05,-3.9907482237364857,0.0017912774188469248
0.016556155423089927,0.00021880631122713412,0.015290828111770561,6.553988963570946e-05,0.20987080532525978,0.8372894955878973
0.07841487118466328,0.003091996378000616,0.09519797472620564,0.00011704812764671638,-0.966920701720169,0.35266759242962464
0.013026415468555099,7.580558963883178e-05,0.025423755541173727,0.00013949018345633428,-1.8851228811150302,0.08385288805690504
0.01103805368233611,7.698776813331599e-05,0.021874285097473974,7.94229817144649e-05,-2.063203533245504,0.06142201921994541
